feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Monoglobus	Time_c	Time_c	-0.0244941139595737	0.00337329057868513	500	424	2.24259726564298e-12	4.80556556923496e-12
Oscillospira	Time_c	Time_c	-0.0275014185207056	0.00385642051392903	500	382	5.17423804884812e-12	1.08658999025810e-11
Holdemanella	Time_c	Time_c	-0.0214090843766836	0.00301321556493648	500	353	6.11960478974092e-12	1.25991863318195e-11
Romboutsia	Time_c	Time_c	-0.0133163631241752	0.00188686736614969	500	482	8.28829277815609e-12	1.67359758020459e-11
Dorea	Time_c	Time_c	-0.0106426623067819	0.00152730908160801	500	497	1.45578935775768e-11	2.88411099178408e-11
Allisonella	Time_c	Time_c	0.02315920769809	0.00343209979098134	500	395	5.72941326424125e-11	1.11405257915802e-10
UCG.005	Time_c	Time_c	-0.0174359640631013	0.00258858759042763	500	485	6.1718277726553e-11	1.1782580293251e-10
Asteroleplasma	Time_c	Time_c	-0.0249568958115742	0.00374236993225537	500	335	9.29243679351762e-11	1.74233189878455e-10
NK4A214_group	Time_c	Time_c	-0.0114265887919306	0.00180467333347819	500	499	6.95564014625548e-10	1.28130213220496e-09
Flavonifractor	Time_c	Time_c	-0.0210967520555833	0.00334814622438499	500	162	8.31952516930345e-10	1.50612093582218e-09
vadinBE97	Time_c	Time_c	-0.0164935161157531	0.00285692390300978	500	143	1.63592464625281e-08	2.91139131960245e-08
Lachnospiraceae_UCG.004	Time_c	Time_c	-0.0166815929815421	0.00298458017915387	500	465	4.40215752608584e-08	7.70377567065021e-08
Faecalibacterium	Time_c	Time_c	-0.00885843955230739	0.00162778441182556	500	500	9.54745372853137e-08	1.64341416638655e-07
Bacteroidales_RF16_group	Time_c	Time_c	0.0135760518080777	0.00253902324547171	500	106	1.5601771043268e-07	2.64223541861797e-07
Lactococcus	Time_c	Time_c	0.0231252837453466	0.00437163999091808	500	206	2.0887064519965e-07	3.48117741999416e-07
