feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Izemoplasmatales	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0042	1035	22622	391	42037	681	810	633	875	85	0	665313	1443	5182	362	30959	359	4	1185	452	1	620	4551	56	85350	659	550	953	4720	57	12405	0	45	4242	18778	0	537	0	74	837	69960	477	6	35	1694	1781	196	48	234	10	0	7938	8118	1126	135	6810	8448	748	187	25	817	1005	0	151	1001	62911	5945	199	465	710	1098	23442	130271	4571	15344	88278	0	422	1	1127	10303	27485	96	99	7243	108	19675	104	36	147	32924	10097	0	6090	768	412	160	2180	4330	1629	673	28	5991	1422	186	12721	0
np0043	0	77	14	972	0	16	12	0	19	0	10882	91	918	21	866	6	0	0	790	0	0	347	0	1941	5	25	8	110	0	1174	5	0	0	347	0	26	0	5	10	2305	0	0	0	164	23	20	5	0	0	2	13	105	12	2	179	661	32	0	7	8	14	0	28	27	0	86	3	22	5	6	331	0	253	74	2	1733	7	0	11	861	3147	0	0	944	0	0	15	25	0	541	192	0	95	0	6	12	211	260	0	4	0	14	44	7	147	0
np0045	3	1021	30	608	79	49	57	340	0	1	9846	55	106	6	523	11	7	20	347	454	22	135	0	981	74	18	44	521	17	1175	10	49	283	1013	0	0	36	24	37	3959	0	48	3	77	45	46	4	6	11	5	62	164	29	7	77	530	63	12	0	19	8	0	95	31	1602	81	2	34	13	11	729	785	327	1047	6841	0	99	1565	25	905	206	11	3	274	2081	702	1	9	1	1758	1130	8	136	97	0	87	876	118	28	22	10	109	76	22	262	0
np0047	0	14993	23	338	0	0	596	0	4	0	2166	188	7884	15	1378	3	0	0	0	0	0	69	42	324	0	35	88	796	4	1197	0	0	1571	9449	0	45	3	16	1157	8497	0	0	2	0	14	123	7	72	2	0	427	473	73	5	44	83	246	7	12	3	8	0	0	13	0	38	13	27	8	0	134	704	133	0	14365	0	0	0	236	1598	299	69	0	184	0	633	5	19	0	290	251	0	31	3	0	23	60	643	0	4	5	0	118	181	48	0
np0048	904	572	0	177	173	0	393	0	45	0	1426	10	2226	0	1724	33	0	0	33	8	1069	39	130	618	0	38	3	158	4	174	0	12	331	192	0	622	0	0	181	1913	0	0	0	21	438	85	6	14	0	0	529	107	7	12	59	146	11	0	568	1	7	1928	16	2	131	42	0	6	2	0	38	24	38	150	13378	0	3	51	53	42	176	13	0	577	117	204	3	0	0	395	126	0	42	0	40	16	11	100	2	5	0	1	104	23	59	0
np0049	30	845	47	764	42	7	40	78	0	9	14496	37	101	7	596	16	5	14	170	240	34	128	2	460	58	21	27	475	11	939	9	65	291	1102	0	0	22	5	36	3705	0	41	1	43	24	10	8	6	14	16	14	183	15	9	52	532	17	101	0	0	5	51	82	10	1918	64	7	27	18	12	604	378	188	1337	3761	0	41	691	32	1202	277	7	0	343	288	831	2	6	0	1854	677	5	280	92	0	122	148	74	26	8	8	52	64	31	236	0
np0050	0	450	123	1008	57	0	180	178	27	0	7325	39	11304	17	2211	7	3	0	325	0	49	618	582	1615	163	30	83	1605	0	1862	20	0	881	1518	59	275	1107	15	49	7521	0	9	0	0	207	133	2	1	0	0	254	826	121	16	524	239	51	96	73	0	31	0	913	58	1047	193	6	17	2	22	95	6060	275	205	8538	0	151	3646	147	46	2207	0	1	1424	0	200	2	16	0	2410	274	89	248	56	0	0	1911	704	0	4	0	307	174	23	1021	59
np0052	0	173	1024	10768	12	0	113	218	0	0	23961	191	621	89	1172	20	39	65	682	0	30	1270	41	3986	159	27	43	430	19	1762	82	2	825	1603	6	7	287	28	182	3833	0	1	2	0	119	184	28	0	13	21	85	284	224	17	267	604	71	26	17	0	43	0	319	41	3187	434	2	165	42	47	1268	2205	948	644	3503	0	386	6062	171	1283	1873	1	28	866	0	1110	6	36	21	3799	1055	26	710	170	0	46	618	765	3	51	16	90	70	56	1256	141
np0053	9	845	276	5762	35	271	168	326	0	7	31579	445	467	35	1560	72	70	51	364	2373	93	480	0	975	829	199	27	281	100	1424	22	596	508	1365	5	0	106	95	238	10401	0	5	5	75	184	129	40	48	45	83	52	311	146	26	171	444	101	87	0	5	26	0	159	65	4787	273	16	330	67	18	2899	2040	700	893	1568	0	33	2907	265	508	934	7	22	735	112	2181	35	49	8	1515	1946	25	359	470	0	377	163	320	138	237	77	41	101	113	815	2
np0054	0	6940	0	58	0	0	2	0	1	0	32408	0	5922	9	1843	125	0	0	0	0	0	0	0	2	0	195	2	1704	7	446	0	0	15	9018	0	7890	0	455	10200	1594	0	0	4	2	691	0	0	33	2	0	4687	1762	1834	10	66	3181	30	0	0	0	5	0	0	5	7	2	0	0	0	0	285	0	458	0	18	0	0	0	74	1251	2	0	8	55	0	364	0	0	110	12	81	0	0	0	0	7	0	1207	0	0	0	0	99	59	62	0
