feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lactococcus	Time_c	Time_c	0.0293573916118186	0.00408771405433052	1071	393	1.39085398543391e-12	2.37791165251604e-12
Bacteroidales_RF16_group	Time_c	Time_c	0.0183332170342698	0.00255147600073937	1071	376	1.45368235375862e-12	2.44587824600657e-12
Terrisporobacter	Time_c	Time_c	-0.0189235343401929	0.00302471308247522	1071	674	6.00734362984094e-10	9.94966288692405e-10
Clostridium_sensu_stricto_1	Time_c	Time_c	-0.0119913849976454	0.00198688712135092	1071	1028	2.32723206482552e-09	3.795178444177e-09
Muribaculaceae	Time_c	Time_c	-0.0106514311762793	0.00180428766302723	1071	903	5.27454229894161e-09	8.36214272273337e-09
Turicibacter	Time_c	Time_c	-0.0227107310379985	0.00385291394278299	1071	705	5.28550530587864e-09	8.36214272273337e-09
UCG.002	Time_c	Time_c	0.00954157086859824	0.00162248413212036	1071	1057	5.95593213131667e-09	9.28424714587598e-09
Oscillibacter	Time_c	Time_c	-0.0139292034899599	0.00241143581863256	1071	975	1.03979709150787e-08	1.59736944492513e-08
Intestinibacter	Time_c	Time_c	-0.0147096975365695	0.00262116968098556	1071	864	2.69103768836463e-08	4.07499992809502e-08
Intestinimonas	Time_c	Time_c	-0.0171055639498122	0.00306679025478632	1071	652	3.22681115187787e-08	4.81749270562048e-08
Lachnospiraceae_UCG.004	Time_c	Time_c	-0.0131173163369313	0.00240880105739282	1071	1017	6.64732068828613e-08	9.78633323553236e-08
Family_XIII_UCG.001	Time_c	Time_c	0.0163539000527883	0.0030411944155396	1071	729	9.7111552406047e-08	1.41011295274534e-07
Coprococcus	Time_c	Time_c	-0.0055312172440411	0.001065330497728	1071	1065	2.62670392346281e-07	3.76257589036565e-07
Agathobacter	Time_c	Time_c	-0.00733943601685733	0.00156366375482069	1071	1070	3.11803891265335e-06	4.4068283298834e-06
Enterobacter	Time_c	Time_c	0.013910180131815	0.00315348750770992	1071	385	1.15232604515994e-05	1.60719158930203e-05
Megasphaera	Time_c	Time_c	0.00873232698121842	0.00203777657198603	1071	430	2.04263333454294e-05	2.81193679820197e-05
Methanobrevibacter	Time_c	Time_c	0.00992808027329338	0.00233549339441852	1071	918	2.37489587696181e-05	3.22742260202503e-05
Lachnospiraceae_UCG.010	Time_c	Time_c	0.013252951656841	0.00313821543572821	1071	847	2.66406991957384e-05	3.57457482879528e-05
Negativibacillus	Time_c	Time_c	0.0137473936856054	0.00330954459333487	1071	539	3.56529222702266e-05	4.72401220080502e-05
Clostridia_UCG.014	Time_c	Time_c	-0.00759691808782553	0.00183384447706195	1071	998	3.79839047954638e-05	4.97073322014711e-05
UCG.004	Time_c	Time_c	-0.0120802130766821	0.00295857151725339	1071	604	4.84395709807188e-05	6.26170063897097e-05
UCG.003	Time_c	Time_c	-0.00730519065946665	0.00187399600933955	1071	1045	0.00010473448339641	0.000133757292048427
Rikenellaceae_RC9_gut_group	Time_c	Time_c	0.00920835033349896	0.00243042271783836	1071	755	0.000162835024790868	0.000205482293188476
Succinivibrio	Time_c	Time_c	-0.00760907264463026	0.00205672244566619	1071	578	0.000230813411754353	0.000287837901717193
Bacillus	Time_c	Time_c	0.0156722692304428	0.00450874371880456	1071	513	0.000531586668973745	0.000655211475711826
Tyzzerella	Time_c	Time_c	-0.0117994010334218	0.0035032207182458	1071	478	0.000789471056219867	0.000961884275394321
Blautia	Time_c	Time_c	-0.00341880110899888	0.00106840116823597	1071	1070	0.00142283002501437	0.00171386343922186
Clostridia_vadinBB60_group	Time_c	Time_c	-0.00643720321831843	0.00229178581218157	1071	849	0.00509074682797054	0.00606313667151547
Slackia	Time_c	Time_c	0.00891483583541186	0.00321883453395406	1071	649	0.00572810001910272	0.00674642891138765
Fusicatenibacter	Time_c	Time_c	-0.00437644463248146	0.00178737875703252	1071	1053	0.0145406521705807	0.0169374629679292
uncultured	Time_c	Time_c	0.00436892785575344	0.00191437040273903	1071	1060	0.0227297283953802	0.0261886001077207
Colidextribacter	Time_c	Time_c	0.00406882865423458	0.00185982944585857	1071	1020	0.0289525677300339	0.032999700853587
Desulfovibrio	Time_c	Time_c	-0.00503004118211614	0.00241583762109168	1071	685	0.037640814475147	0.0424460248336764
Subdoligranulum	Time_c	Time_c	-0.00214512578854313	0.00115709217014651	1071	1062	0.0641123303248041	0.0715358633097814
Marvinbryantia	Time_c	Time_c	-0.0041385750078567	0.0026102189783842	1071	953	0.113188844304701	0.124979348919774
Dialister	Time_c	Time_c	0.0024941597524239	0.00163048703748149	1071	1014	0.12648433793109	0.138219998151501
RF39	Time_c	Time_c	-0.00377167668381677	0.00248373011743221	1071	758	0.129256933272093	0.139808519661651
Prevotellaceae_NK3B31_group	Time_c	Time_c	-0.00380383115538868	0.00258523404297007	1071	190	0.141576438817179	0.15158689408708
Collinsella	Time_c	Time_c	0.00300456983541263	0.00231811807980239	1071	1032	0.195275100034267	0.206991606036323
Lachnospiraceae_ND3007_group	Time_c	Time_c	-0.00194773526317282	0.00165662170377613	1071	1038	0.240038676579009	0.25192177937995
vadinBE97	Time_c	Time_c	-0.00360722868421142	0.00354301321516334	1071	230	0.308891964287078	0.321005374651277
Escherichia.Shigella	Time_c	Time_c	-0.00146781324761355	0.00256217093914084	1071	1010	0.56686820090741	0.583378925205684
Catenibacterium	Time_c	Time_c	-0.00149484924801107	0.00291302380247015	1071	760	0.607975543100687	0.619667380468008
CAG.873	Time_c	Time_c	-0.000258532788262172	0.0015507395418637	1071	528	0.867636387102575	0.875899590789266
X.Ruminococcus._gauvreauii_group	Time_c	Time_c	-0.000184694706184989	0.00168455560203635	1071	999	0.91272168152689	0.91272168152689
