feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G__Parasutterella.9	Time_c	Time_c	-0.010077278231154	0.0026761862464547	500	394	0.00019294690945048	0.00026767986733623
O__Oscillospirales_010.18	Time_c	Time_c	-0.00842551142894208	0.00226046955843323	500	109	0.000223433635969186	0.000309248896622456
G__Barnesiella.12	Time_c	Time_c	-0.0112299848985552	0.00306768255582177	500	191	0.000287677916513114	0.000397237496867408
S__Slackia__isoflavoniconvertens	Time_c	Time_c	0.0146389423985814	0.00401125581163321	500	269	0.000300141958547549	0.000413482278558511
F__Oscillospiraceae.5	Time_c	Time_c	-0.010198023853067	0.00281508767782213	500	394	0.000331886358649432	0.000456150785957707
G__Succinivibrio.3	Time_c	Time_c	-0.00819543225229817	0.00227700214842759	500	172	0.000362130162331765	0.000496563633266991
G__Prevotella.2	Time_c	Time_c	-0.00749805216322497	0.00208482555197314	500	153	0.000365822484865436	0.000500465482767297
F__Oscillospiraceae_002.8	Time_c	Time_c	-0.00628196666920573	0.00178461622040989	500	459	0.000484657996469109	0.000661507796566382
G__Lachnoclostridium.5	Time_c	Time_c	-0.011467022269257	0.0032819913256344	500	447	0.000533008490344159	0.00072582492579124
G__Blautia.1	Time_c	Time_c	-0.00632321935587393	0.00182300574805672	500	499	0.000584178253418553	0.000793676661541068
G__Prevotella.62	Time_c	Time_c	-0.00482310137088737	0.00139097406169038	500	109	0.000586585041672424	0.000795118714744043
G__Agathobacter.3	Time_c	Time_c	-0.00838911369833122	0.00244730455883834	500	496	0.00067594092061586	0.000914144357171563
F__Lachnospiraceae.18	Time_c	Time_c	-0.0123744213311412	0.0036497574947006	500	385	0.000772101260226724	0.00104180786482647
G__Subdoligranulum.2	Time_c	Time_c	-0.00518565982358703	0.00153003477113548	500	500	0.000775481012140114	0.0010439846883253
G__Clostridia__vadinBB60__group.11	Time_c	Time_c	-0.0134465527890328	0.00398183384392921	500	287	0.00080982431343702	0.00108774129373018
G__Prevotella.31	Time_c	Time_c	0.0112141874342642	0.00333806935059756	500	186	0.000861246102785467	0.00115418695407304
G__Rikenellaceae__RC9__gut__group.10	Time_c	Time_c	0.00682779359193449	0.00203447914908172	500	313	0.000871719125136067	0.00116557919220682
S__Prevotella__copri.4	Time_c	Time_c	-0.0095777916603466	0.00286897655919828	500	294	0.000927262211296611	0.00123704732929187
G__Subdoligranulum.12	Time_c	Time_c	-0.00933114982820122	0.00279976370992052	500	185	0.000945457863382949	0.00125848107490839
F__Oscillospiraceae_003.9	Time_c	Time_c	0.00925016729426904	0.00280711535225003	500	418	0.00107727610743865	0.00143071950448594
G__Lachnospiraceae__NK4A136__group.23	Time_c	Time_c	-0.011286834042165	0.00343430232349884	500	279	0.00111035626282554	0.0014713465276455
G__Clostridia__UCG_014.31	Time_c	Time_c	-0.00844607905560239	0.00257537172835113	500	169	0.00113724850117111	0.00150361043443428
G__Eubacterium__coprostanoligenes__group.6	Time_c	Time_c	-0.00661363608204662	0.00202138043911393	500	127	0.00116784485294028	0.00154061675912434
G__Enterobacter.4	Time_c	Time_c	0.0118567279877595	0.00362520682071578	500	198	0.00117269724041552	0.00154357253693891
G__Blautia.11	Time_c	Time_c	-0.0110803018027312	0.00340719875202833	500	422	0.00124994984601438	0.00164160079776555
G__Escherichia_Shigella.3	Time_c	Time_c	0.00922136428064854	0.0028901529520508	500	157	0.00153965032760539	0.00201759056233878
F__Erysipelatoclostridiaceae_004.1	Time_c	Time_c	-0.0113883714105102	0.00364059584304962	500	249	0.00189692775333198	0.00248027500490974
G__Negativibacillus	Time_c	Time_c	0.0119640764324828	0.00386431327992489	500	230	0.00210909617728015	0.0027511659220034
G__Oscillospira.1	Time_c	Time_c	-0.0111032717209322	0.00358700070019158	500	190	0.00211341679964389	0.0027511659220034
G__Faecalibacterium.48	Time_c	Time_c	0.00377744415895215	0.00123685422429338	500	109	0.00241926248604319	0.0031423827016517
S__Prevotella__copri.7	Time_c	Time_c	-0.00850508767480447	0.00279351016209094	500	197	0.00249494048379991	0.00323357417966173
F__Oscillospiraceae_002.15	Time_c	Time_c	-0.00807112295318834	0.00265293664278367	500	293	0.0025132292072952	0.00325014980637082
G__Prevotella.23	Time_c	Time_c	0.00840273185634603	0.00282185278188129	500	173	0.00309305511964738	0.00399125671552751
G__Phascolarctobacterium.18	Time_c	Time_c	-0.00907340554152473	0.00311126847898636	500	73	0.00375560270658218	0.00483564531501104
F__Oscillospiraceae.10	Time_c	Time_c	-0.0075243201002947	0.00265931313378546	500	180	0.00491462808650562	0.00631422869374961
S__Prevotella__copri.2	Time_c	Time_c	-0.0100926817739593	0.00357453352393124	500	296	0.00500444269765998	0.00641567382715195
F__Oscillospiraceae_003.2	Time_c	Time_c	-0.00866940967578563	0.00307169838840449	500	462	0.00502197614750287	0.00642421624063679
G__Prevotella.3	Time_c	Time_c	-0.00506201896241896	0.00182383635798123	500	131	0.00578894853552974	0.00738934899459628
G__Tyzzerella	Time_c	Time_c	-0.0121217041394038	0.00442695012669695	500	237	0.00647375093658548	0.00824566121448711
G__Eubacterium__hallii__group	Time_c	Time_c	0.00955128483813308	0.00350568464131671	500	191	0.00674193575239857	0.00856878285950011
F__Oscillospiraceae_002.11	Time_c	Time_c	-0.00877008196283727	0.00327265928098297	500	245	0.00769215851867089	0.00975550576080364
F__Oscillospiraceae_002.22	Time_c	Time_c	-0.00894952274254863	0.00336320778926851	500	356	0.00812638311047345	0.0102841379406634
G__Subdoligranulum.4	Time_c	Time_c	0.00826702275905694	0.00311966543237809	500	352	0.00839152265013476	0.0105969869363881
G__Prevotella.56	Time_c	Time_c	-0.00332257776722272	0.00126305756525008	500	126	0.00887613934321992	0.0111850711126716
G__Fusicatenibacter	Time_c	Time_c	-0.0063209039970271	0.00242527576239225	500	490	0.009519476527042	0.0119702353776209
S__Dorea__formicigenerans	Time_c	Time_c	0.00453613356149824	0.00175209075269739	500	484	0.0100015778704766	0.0125497505763305
F__Oscillospiraceae.2	Time_c	Time_c	-0.0102592783145046	0.00397652594969096	500	276	0.0102619153568717	0.0128491355421847
G__Prevotella.58	Time_c	Time_c	-0.00383695410043371	0.00150451349929429	500	124	0.0111610135036055	0.0139453678237439
O__Oscillospirales_010.23	Time_c	Time_c	-0.00798169020221325	0.00319876365091586	500	372	0.013017446447407	0.0162306136084759
G__Clostridia__vadinBB60__group.21	Time_c	Time_c	0.00657202585909917	0.00265204558802505	500	125	0.0136491403814993	0.0169824041378233
G__Phascolarctobacterium.33	Time_c	Time_c	-0.00483307869181955	0.00198355693877468	500	308	0.0152930119012977	0.0189877521715692
G__Phascolarctobacterium.6	Time_c	Time_c	-0.00180901695416078	0.000755521928802784	500	183	0.0171395124652181	0.0212357481487293
G__Clostridia__UCG_014.35	Time_c	Time_c	-0.00642806764594212	0.00272394728354639	500	294	0.018796011968782	0.0232394206559627
G__Escherichia_Shigella.2	Time_c	Time_c	-0.00718354590296785	0.00307855464765055	500	448	0.020155688011631	0.0248685002398202
G__Lachnospiraceae__ND3007__group.3	Time_c	Time_c	-0.00468047646088801	0.00201357202405695	500	480	0.020635474442238	0.0254074279070055
G__Prevotella.70	Time_c	Time_c	-0.00468302841753699	0.00202377452046405	500	138	0.021208661708431	0.0260588754047458
G__Prevotella.61	Time_c	Time_c	-0.00521236537610804	0.00226491332769004	500	142	0.0219208222495966	0.0268780206421403
S__bacterium__enrichment	Time_c	Time_c	0.00697811607002893	0.00310753350248409	500	369	0.025316411652641	0.0309772241960887
