feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0697	0	394	0	152	270	0	710	0	6	0	2309	55	64407	0	570	28	0	0	0	0	0	55	18	0	0	6	5	270	4	520	0	0	12	540	9	391	0	1	81	479	0	0	0	0	104	2670	1	9	0	74	204	44	0	8	10	4	1	51354	0	1	2	0	13	0	22	0	14	66	2	60	44	26	50	1431	0	0	0	8	115	73	242	4	286	0	58	0	0	0	169	20	3	10	0	0	13	1	583	0	0	1	0	8	98	49	0
np0700	0	299	111	2771	4	0	56	0	0	0	21842	224	235	0	1627	21	1	170	2426	0	0	1005	2	2231	49	83	10	103	0	958	80	0	375	972	12	0	50	27	2	1662	0	0	0	161	41	104	18	14	0	0	113	82	20	192	725	17	17	0	147	23	0	39	18	154	139	0	88	4	23	415	0	103	511	970	0	25	382	142	1159	37	1	10	983	0	409	10	54	0	922	791	0	192	11	0	8	571	1113	0	30	3	28	38	57	1421	7
np0703	0	20	18	328	0	0	20	97	8	0	850	12	314	2	206	0	4	0	47	0	9	71	0	223	6	2	13	72	0	168	2	0	4	87	7	5	54	1	0	363	0	0	0	0	19	9	0	0	0	0	31	8	0	77	28	0	6	7	0	3	0	106	5	105	17	1	3	1	0	15	121	24	26	134	0	14	290	14	36	110	0	0	78	0	10	1	3	0	149	15	4	81	2	0	0	141	32	0	0	0	10	15	3	230	101
np0705	0	1689	41	643	272	0	770	43	598	0	2034	18	5254	7	2183	6	0	0	475	0	663	439	751	1859	3	23	49	1983	0	1929	12	0	819	2268	5	209	153	175	31	13805	0	6	0	0	252	962	5	1	0	159	1000	69	9	1263	169	71	21	319	0	54	0	595	65	369	149	0	16	6	1	56	826	615	90	23296	0	77	4020	92	94	2795	8	4	3269	0	69	2	21	2	833	310	9	97	14	0	4	1075	1392	0	0	0	188	250	31	228	22
np0708	0	156	18	1772	50	0	34	56	0	0	28265	115	110	8	1346	45	0	0	78	0	28	169	0	407	24	20	18	1081	4	2953	0	465	1863	1055	0	114	0	12	0	743	37	0	0	0	48	0	1	6	11	0	372	54	9	199	2913	164	219	706	0	21	1	0	94	596	336	0	30	8	0	411	648	421	112	23	159	0	913	31	15	884	9	2	838	0	1722	5	7	54	1444	784	0	91	15	13	3	38	364	0	10	0	76	49	6	491	0
np0711	360	2992	5	85	94	0	11	7	105	138	1427	2	571	3	3139	10	0	0	53	120	34	71	163	672	2027	43	144	456	0	5706	41	19	5844	5895	28	88	9	9	85	4385	34	15	1	27	22	10	18	16	0	47	767	5	4	362	129	115	131	30	2	173	102	30	114	1582	618	16	4	11	2	45	173	15	2217	55116	0	1	1326	45	3	286	15	0	1685	411	145	0	10	2	2387	861	1	35	121	8	45	49	506	0	12	0	0	74	11	720	0
np0713	11	1164	3	643	5	47	22	48	0	149	16538	40	38	0	867	11	0	0	855	312	17	227	0	3668	368	38	28	38	10	498	38	17	337	579	0	2	162	4	0	9681	11	4	0	33	45	25	9	8	0	0	99	78	11	556	720	31	72	0	0	42	0	21	21	1321	226	6	14	15	12	327	266	168	598	27167	1	81	1567	47	375	508	0	0	1035	305	1503	7	0	23	2301	546	5	370	264	25	56	892	220	11	11	2	0	225	23	527	0
np0719	8	1350	76	1063	26	94	115	7	0	2	11414	58	81	12	1216	20	6	19	495	70	0	259	0	1129	47	35	10	61	14	859	5	31	231	1030	0	0	41	14	13	2276	1	0	0	15	66	50	18	9	2	1	81	47	4	97	418	31	11	0	0	7	15	6	12	1044	173	0	60	26	0	515	320	101	239	7195	0	5	225	35	1030	1015	0	0	524	389	594	6	7	0	546	329	5	129	89	0	101	274	544	22	24	6	63	90	62	114	2
np0720	0	37	15	203	2	0	13	14	0	0	1527	5	53	3	245	0	2	0	54	0	4	65	57	191	7	1	14	37	1	166	2	1	79	96	22	10	70	0	5	497	0	0	0	0	6	5	0	0	0	147	40	12	2	69	103	3	6	9	0	2	0	38	9	93	29	1	2	2	0	32	228	90	100	984	0	42	1425	10	66	190	0	0	134	0	35	0	0	1	274	155	0	70	3	0	0	227	44	0	0	0	38	8	0	117	4
np0724	0	2035	6	414	118	0	131	0	0	0	1933	154	16133	2	557	22	0	0	0	0	0	24	0	6	0	32	20	3871	0	312	0	0	63	323	0	0	0	2	5	555	0	0	1	0	524	0	0	18	0	0	46	192	10	8	95	30	0	3368	0	0	0	0	48	0	99	0	55	7	1	70	0	140	8	0	0	5	0	21	138	456	0	15	416	0	2	8	4	0	85	36	10	26	0	122	50	61	88	0	42	8	11	15	27	50	0
