feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
S__Bacteroides__ovatus.8	Time_c	Time_c	-0.00780901452148952	0.00112072653402043	1071	456	6.72691763603464e-12	1.29130862659572e-11
G__Ruminococcus.10	Time_c	Time_c	-0.010394740843788	0.00150831873197659	1071	383	1.09316848809152e-11	2.09173585702128e-11
G__Lachnospira.1	Time_c	Time_c	-0.0233819535436012	0.00340108911688569	1071	532	1.13104441953382e-11	2.15729558613958e-11
G__Parasutterella.11	Time_c	Time_c	-0.0185935639614648	0.00273292795718348	1071	556	1.89586181616326e-11	3.60455256130403e-11
G__Prevotella.46	Time_c	Time_c	0.0185757827101513	0.00276559945766826	1071	624	3.46587260912163e-11	6.56865380204957e-11
G__Coprococcus.8	Time_c	Time_c	-0.00902373876882249	0.00135012595053494	1071	1054	4.29598102179077e-11	8.11614136078825e-11
G__Anaerostipes.4	Time_c	Time_c	-0.0245028217760387	0.00368905259269065	1071	536	5.10802362566612e-11	9.61984260101789e-11
S__Lactobacillus__sakei	Time_c	Time_c	0.0156359653863932	0.00235524801028147	1071	224	5.67669011782642e-11	1.06571823910137e-10
G__Prevotella.14	Time_c	Time_c	-0.0150212135276779	0.00227534175311572	1071	302	6.90317103957692e-11	1.2919100660274e-10
O__Rhodospirillales	Time_c	Time_c	-0.0180477421411077	0.00274401767629499	1071	495	8.49316185615253e-11	1.58450550878846e-10
G__Clostridia__UCG_014.49	Time_c	Time_c	-0.0151097457184926	0.00230681546513574	1071	821	1.01397946446496e-10	1.88581227503297e-10
G__Dorea.6	Time_c	Time_c	-0.0100357729928897	0.00154219742770793	1071	474	1.33895236754696e-10	2.48246758827806e-10
G__Rikenellaceae__RC9__gut__group.15	Time_c	Time_c	-0.0122263475717575	0.00188177515464603	1071	455	1.41512462884613e-10	2.61557090842459e-10
G__Akkermansia	Time_c	Time_c	-0.0170498288062494	0.00266394413086505	1071	265	2.48868227432745e-10	4.58562752399225e-10
S__Bacteroides__sartorii	Time_c	Time_c	-0.0162830215847551	0.00254431896870839	1071	533	2.61333488390763e-10	4.80049515597802e-10
G__NK4A214__group.6	Time_c	Time_c	0.0168271308425644	0.00264293413703415	1071	566	3.12113710454732e-10	5.71570199820476e-10
G__Lachnospiraceae__ND3007__group.6	Time_c	Time_c	-0.0180213390567591	0.00284058741721679	1071	469	3.48291946008767e-10	6.35872451887565e-10
G__Lachnospira.2	Time_c	Time_c	-0.0204194964809549	0.00323217974494034	1071	785	4.25616591913438e-10	7.74674101744885e-10
S__Bacteroides__ovatus.10	Time_c	Time_c	-0.0091630043959111	0.00145271810449411	1071	454	4.64479940022108e-10	8.42840499067474e-10
S__Bacteroides__finegoldii	Time_c	Time_c	-0.0123389729660153	0.00196641697280833	1071	256	5.52413449568236e-10	9.99366149673444e-10
G__Muribaculaceae.46	Time_c	Time_c	-0.00940874566362818	0.00150484257061707	1071	504	6.55227873247914e-10	1.18178562032932e-09
G__Terrisporobacter	Time_c	Time_c	-0.0186072050910226	0.00299297441090564	1071	674	7.64888495141656e-10	1.3754169626493e-09
S__Bifidobacterium__longum	Time_c	Time_c	0.0336167385497331	0.00544195648564647	1071	439	9.54368702513408e-10	1.71098533153305e-09
G__Clostridia__UCG_014.18	Time_c	Time_c	0.0158980113833725	0.0025806047528318	1071	663	1.13082757058136e-09	2.02126963963195e-09
G__Fournierella	Time_c	Time_c	-0.0118966158245154	0.00193223377193304	1071	672	1.16658398948536e-09	2.07895713947093e-09
G__Clostridia__UCG_014.42	Time_c	Time_c	0.0153703851835977	0.0025043545755157	1071	674	1.30122280603459e-09	2.31199409286503e-09
